level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2488	3507	-1	
2	1	1	0	0	0	470	527	914	60	-1	
3	1	1	1	0	0	470	528	914	58	-1	
4	1	1	1	1	0	470	528	914	58	-1	
5	1	1	1	1	1	470	530	30	51	96	1
5	1	1	1	1	2	588	528	200	54	91	Down
5	1	1	1	1	3	817	529	111	54	88	the
5	1	1	1	1	4	959	531	425	55	89	Rabbit-Hole
2	1	2	0	0	0	449	651	1630	2154	-1	
3	1	2	1	0	0	462	651	1615	231	-1	
4	1	2	1	1	0	464	651	1611	54	-1	
5	1	2	1	1	1	464	651	106	38	86	Alice
5	1	2	1	1	2	591	665	77	24	91	was
5	1	2	1	1	3	690	653	207	47	83	beginning
5	1	2	1	1	4	917	659	43	32	93	to
5	1	2	1	1	5	981	660	63	41	88	get
5	1	2	1	1	6	1066	668	90	34	89	very
5	1	2	1	1	7	1176	657	99	36	90	tired
5	1	2	1	1	8	1296	656	41	37	87	of
5	1	2	1	1	9	1355	659	135	44	91	sitting
5	1	2	1	1	10	1510	658	52	45	94	by
5	1	2	1	1	11	1583	658	66	37	88	her
5	1	2	1	1	12	1671	660	111	35	82	sister
5	1	2	1	1	13	1803	671	51	24	90	on
5	1	2	1	1	14	1874	660	67	36	85	the
5	1	2	1	1	15	1962	660	113	45	90	bank,
4	1	2	1	2	0	464	711	1613	53	-1	
5	1	2	1	2	1	464	711	77	38	92	and
5	1	2	1	2	2	557	711	41	38	90	of
5	1	2	1	2	3	610	712	141	48	82	having
5	1	2	1	2	4	767	713	162	48	88	nothing
5	1	2	1	2	5	943	718	43	34	89	to
5	1	2	1	2	6	1001	714	61	38	89	do:
5	1	2	1	2	7	1087	727	93	26	88	once
5	1	2	1	2	8	1195	728	42	25	94	or
5	1	2	1	2	9	1251	717	109	37	87	twice
5	1	2	1	2	10	1376	716	66	38	91	she
5	1	2	1	2	11	1458	716	78	39	88	had
5	1	2	1	2	12	1551	718	148	46	92	peeped
5	1	2	1	2	13	1715	719	81	37	94	into
5	1	2	1	2	14	1811	718	68	38	86	the
5	1	2	1	2	15	1894	719	102	38	89	book
5	1	2	1	2	16	2011	719	66	38	89	her
4	1	2	1	3	0	463	773	1613	51	-1	
5	1	2	1	3	1	463	773	110	35	84	sister
5	1	2	1	3	2	589	784	77	25	89	was
5	1	2	1	3	3	682	773	169	47	84	reading,
5	1	2	1	3	4	869	773	71	38	92	but
5	1	2	1	3	5	958	775	30	36	90	it
5	1	2	1	3	6	1005	774	77	38	86	had
5	1	2	1	3	7	1098	786	50	26	90	no
5	1	2	1	3	8	1164	776	165	45	87	pictures
5	1	2	1	3	9	1346	788	41	25	93	or
5	1	2	1	3	10	1404	778	282	37	84	conversations
5	1	2	1	3	11	1703	779	40	36	93	in
5	1	2	1	3	12	1759	779	42	45	91	it,
5	1	2	1	3	13	1822	778	89	38	90	‘and
5	1	2	1	3	14	1926	778	102	38	87	what
5	1	2	1	3	15	2046	780	30	37	89	is
4	1	2	1	4	0	462	832	1454	50	-1	
5	1	2	1	4	1	462	832	67	35	92	the
5	1	2	1	4	2	547	844	66	24	91	use
5	1	2	1	4	3	631	832	42	36	86	of
5	1	2	1	4	4	687	845	25	23	93	a
5	1	2	1	4	5	728	833	129	45	90	book,’
5	1	2	1	4	6	876	834	164	46	90	thought
5	1	2	1	4	7	1058	834	106	37	84	Alice
5	1	2	1	4	8	1183	835	173	37	84	‘Without
5	1	2	1	4	9	1374	838	167	44	89	pictures
5	1	2	1	4	10	1558	849	43	24	90	or
5	1	2	1	4	11	1618	838	298	37	80	conversation?’
3	1	2	2	0	0	461	891	1616	234	-1	
4	1	2	2	1	0	536	891	1539	53	-1	
5	1	2	2	1	1	536	891	50	37	91	So
5	1	2	2	1	2	602	893	67	35	93	she
5	1	2	2	1	3	685	905	77	24	89	was
5	1	2	2	1	4	779	894	238	45	90	considering
5	1	2	2	1	5	1033	896	39	34	91	in
5	1	2	2	1	6	1088	895	66	36	89	her
5	1	2	2	1	7	1170	907	84	24	92	own
5	1	2	2	1	8	1270	896	106	36	91	mind
5	1	2	2	1	9	1396	894	58	50	90	(as
5	1	2	2	1	10	1469	897	83	36	90	well
5	1	2	2	1	11	1569	909	41	24	88	as
5	1	2	2	1	12	1627	898	67	35	92	she
5	1	2	2	1	13	1711	898	123	44	87	could,
5	1	2	2	1	14	1853	898	57	36	89	for
